nameType,examples
americanCities,abilene akron albuquerque alexandria allentown amarillo anaheim anchorage annarbor antioch arvada athens atlanta augusta aurora aurora austin bakersfield baltimore batonrouge beaumont bellevue berkeley billings boise boston boulder bridgeport brokenarrow brownsville buffalo burbank cambridge capecoral carlsbad carrollton cary centennial chandler charleston charlotte chattanooga chesapeake chicago chulavista cincinnati clarksville clearwater cleveland clovis collegestation columbia columbia columbus columbus concord corona corpuschristi costamesa dallas davenport dayton denver detroit downey durham edison elmonte elgin elkgrove eugene evansville everett fairfield fargo fortcollins fortlauderdale fortwayne fortworth fremont fresno frisco fullerton garland gilbert glendale glendale grandprairie grandrapids greenbay greensboro gresham hampton henderson hillsboro hollywood honolulu houston huntingtonbeach huntsville independence indianapolis inglewood irvine irving jackson jacksonville jerseycity joliet kansascity kansascity kent killeen knoxville lafayette lakeland lakewood lancaster lansing laredo lascruces lasvegas lewisville lexington lincoln littlerock longbeach losangeles lowell lubbock macon madison manchester mcallen mckinney memphis mesa mesquite miami miamigardens midland milwaukee minneapolis mobile montgomery murfreesboro murrieta naperville nashville neworleans newyork newportnews norfolk norman northcharleston northlasvegas norwalk oakland oceanside oklahomacity olathe omaha ontario orange orlando overlandpark palmbay palmdale pasadena pasadena paterson pearland pembrokepines peoria peoria philadelphia phoenix pittsburgh plano pomona pompanobeach portland providence pueblo raleigh ranchocucamonga reno rialto richardson richmond riverside rockford roundrock sacramento saintpaul salem salinas saltlakecity sanantonio sandiego sanfrancisco sanmateo sandysprings santaana santaclara santaclarita santamaria santarosa scottsdale seattle simivalley siouxfalls southbend springfield springfield stamford stockton sunnyvale surprise syracuse tallahassee tampa temecula tempe thornton toledo topeka torrance tucson tulsa tyler vallejo vancouver victorville virginiabeach vista warren washington waterbury westjordan westpalmbeach westvalleycity westminster wichita wichitfalls wilmington winstonsalem woodbridge yonkers
americanCompanies,abbottlaboratories abbvieinc accenture activisionblizzard acuitybrands adobesystems advanceautoparts advancedmicrodevices aescorp aetnainc agilenttechnologies akamaitechnologies alaskaairgroupinc albemarlecorp alexionpharmaceuticals allerganplc alliancedatasystems alliantenergycorp allstatecorp alphabetincclassa alphabetincclassc altriagroupinc amazoncominc amerencorp americanairlinesgroup americanelectricpower americanexpressco americaninternationalgroup americantowercorpa americanwaterworkscompanyinc ameriprisefinancial amerisourcebergencorp ametekinc amgeninc amphenolcorp anadarkopetroleumcorp analogdevicesinc antheminc aonplc apachecorporation apartmentinvestmentandmanagement appleinc appliedmaterialsinc arconicinc arthurjgallagherandco assetmanagementandcustodybanks assurantinc atandtinc autodeskinc automaticdataprocessing autonationinc autozoneinc avalonbaycommunitiesinc averydennisoncorp bakerhughesinc ballcorp bankofamericacorp bardcrinc baxterinternationalinc bbandtcorporation bectondickinson bedbathandbeyond bestbuycoinc bfb biogeninc blockhandr boeingcompany bostonproperties bostonscientific bristolmyerssquibb brkb buildingproducts cabotoilandgas cainc campbellsoup capitalonefinancial cardinalhealthinc carmaxinc carnivalcorp caterpillarinc cboeholdings cbregroup cbscorp celgenecorp centenecorporation centerpointenergy centurylinkinc cfindustriesholdingsinc charlesschwabcorporation chartercommunications chesapeakeenergy chevroncorp chipotlemexicangrill chrobinsonworldwide chubblimited churchanddwight cignacorp cimarexenergy cincinnatifinancial cintascorporation ciscosystems citigroupinc citizensfinancialgroup citrixsystems cmegroupinc cmsenergy coachinc cocacolacompanythe cognizanttechnologysolutions colgatepalmolive comcastcorp comericainc conagrabrands conchoresources consolidatededison constellationbrands consumerfinance corninginc costcowholesalecorp cotyinc crowncastleinternationalcorp csrainc csxcorp cumminsinc cvshealth danahercorp dardenrestaurants davitainc deereandco delphiautomotive deltaairlines dentsplysirona devonenergycorp digitalrealtytrust discoverfinancialservices discoverycommunications dishnetwork dollargeneral dollartree dominionresources dovercorp dowchemical drhorton drpeppersnapplegroup dteenergyco dukeenergy dupontei dxctechnology e*trade eastmanchemical eatoncorporation ebayinc ecolabinc edisonintl edwardslifesciences electronicarts emersonelectriccompany entergycorp envisionhealthcare eogresources eqtcorporation equifaxinc equityresidential essexpropertytrustinc esteelaudercos eversourceenergy exeloncorp expediainc expeditorsinternational expressscripts extraspacestorage exxonmobilcorp f5networks facebookinc fastenalco federalrealtyinvestmenttrust fedexcorporation fidelitynationalinformationservices fifththirdbancorp firstenergycorp fiservinc flirsystems flowservecorporation fluorcorp fmccorporation footlockerinc fordmotor fortivecorp fortunebrandshomeandsecurity franklinresources freeportmcmoraninc gapinc garminltd gartnerinc generaldynamics generalelectric generalgrowthpropertiesinc generalmills generalmotors genuineparts gileadsciences globalpaymentsinc goldmansachsgroup goodyeartireandrubber graingerwwinc halliburtonco hanesbrandsinc harleydavidson harriscorporation hartfordfinancialsvcgp hasbroinc hcaholdings hcpinc healthcare helmerichandpayne henryschein hesscorporation hewlettpackardenterprise homedepot honeywellintlinc hormelfoodscorp hosthotelsandresorts hpinc humanainc huntingtonbancshares idexxlaboratories illinoistoolworks illuminainc informationtechnology ingersollrandplc intelcorp intercontinentalexchange internationalbusinessmachines internationalpaper interpublicgroup intlflavorsandfragrances intuitinc intuitivesurgicalinc invescoltd ironmountainincorporated jacobsengineeringgroup jbhunttransportservices jmsmucker johnsonandjohnson johnsoncontrolsinternational jpmorganchaseandco junipernetworks kansascitysouthern kelloggco kimberlyclark kimcorealty kindermorgan klatencorcorp kohlscorp kraftheinzco krogerco l3communicationsholdings laboratorycorpofamericaholding lamresearch lbrandsinc leggettandplatt lennarcorp leucadianationalcorp level3communications lillyeliandco lincolnnational lkqcorporation lockheedmartincorp loewscorp lowescos macysinc mallinckrodtplc mandtbankcorp marathonoilcorp marathonpetroleum marriottintl marshandmclennan martinmariettamaterials mascocorp mastercardinc mattelinc mccormickandco mcdonaldscorp mckessoncorp meadjohnson medtronicplc merckandco metlifeinc mettlertoledo michaelkorsholdings microchiptechnology microntechnology microsoftcorp midamericaapartments mohawkindustries molsoncoorsbrewingcompany mondelezinternational monsantoco monsterbeverage moodyscorp morganstanley motorolasolutionsinc murphyoil mylannv nasdaqinc nationaloilwellvarcoinc netflixinc newellbrands newfieldexplorationco newmontminingcorphldgco newscorp nexteraenergy nielsenholdings nisourceinc nobleenergyinc norfolksoutherncorp northerntrustcorp northropgrummancorp nrgenergy nucorcorp nvidiacorporation oreillyautomotive occidentalpetroleum oilandgasdrilling oilandgasequipmentandservices oilandgasexplorationandproduction oilandgasstorageandtransportation omnicomgroup oraclecorp paccarinc parkerhannifin pattersoncompanies paychexinc pentairltd peoplesunitedfinancial pepsicoinc pfizerinc pgandecorp philipmorrisinternational phillips66 pinnaclewestcapital pioneernaturalresources pncfinancialservices poloralphlaurencorp ppgindustries pplcorp praxairinc pricelinecominc principalfinancialgroup procterandgamble progressivecorp prudentialfinancial publicserventerpriseinc publicstorage pultehomesinc pvhcorp qualcomminc quantaservicesinc questdiagnostics rangeresourcescorp raymondjamesfinancialinc raytheonco realestate realtyincomecorporation redhatinc regencycenterscorporation regionalbanks regionsfinancialcorp republicservicesinc reynoldsamericaninc roberthalfinternational rockwellautomationinc rockwellcollins ropertechnologies rossstores royalcaribbeancruisesltd rydersystem salesforcecom sandpglobalinc scanacorp schlumbergerltd scrippsnetworksinteractiveinc seagatetechnology sealedair sempraenergy sherwinwilliams signetjewelers simonpropertygroupinc skyworkssolutions slgreenrealty snaponinc southernco southwestairlines specialtychemicals stanleyblackanddecker staplesinc starbuckscorp statestreetcorp stericycleinc strykercorp suntrustbanks symanteccorp synchronyfinancial synopsysinc syscocorp targetcorp teconnectivityltd tegnainc teradatacorp tesoropetroleumco texasinstruments textroninc thebankofnewyorkmelloncorp thecloroxcompany thecoopercompanies thehersheycompany themosaiccompany thermofisherscientific thetravelerscompaniesinc thewaltdisneycompany tiffanyandco timewarnerinc tjxcompaniesinc torchmarkcorp totalsystemservices tractorsupplycompany transdigmgroup trowepricegroup twentyfirstcenturyfox tysonfoods udrinc ultasaloncosmeticsandfragranceinc underarmour underarmour unionpacific unitedcontinentalholdings unitedhealthgroupinc unitedparcelservice unitedrentalsinc unitedtechnologies universalhealthservicesinc unumgroup usbancorp valeroenergy varianmedicalsystems ventasinc verisigninc veriskanalytics verizoncommunications vertexpharmaceuticalsinc vfcorp viacominc visainc vornadorealtytrust vulcanmaterials walgreensbootsalliance walmartstores wastemanagementinc waterscorporation wecenergygroupinc wellsfargo welltowerinc westerndigital westernunionco westrockcompany weyerhaeusercorp whirlpoolcorp wholefoodsmarket williamscos willistowerswatson wyndhamworldwide wynnresortsltd xcelenergyinc xeroxcorp xilinxinc xlcapital xyleminc yahooinc yumbrandsinc zimmerbiometholdings zionsbancorp 
americanDesserts,ambrosia angelcake applecrisp appledumpling applepie bananapudding bananasplit beanpie blackberrypie blackbottompie blondie blueberrypie bostoncreampie brownbetty brownie bundtcake buttermilkpie butterscotch caramel checkerboardcake cheesecake cherrypie chiffonpie chocolatebrownie chocolatechipcookie chocolatepudding cobbler coconutcake congobar corncookie creampie cupcake cupcone derbypie dessertbar dirtcake dobergecake doughnut frieddough friedicecream friedpie frozenyogurt fudge funnelcake gooeybuttercake grapepie grasshopperpie grasshopperpie hastypudding hermitcookies hotmilkcake huckleberrypie hummingbirdcake iceboxcake icecreamcake icecreamcone jamcake jello jellybean jellycreampie keylimepie kingcake lanecake lemonsquares maracapie marshmallowcreme moltenchocolatecake mudpie oreo panocha parfait pastryhearts pecanpie persimmonpudding pistachiopudding potpie pumpkinpie redvelvetcake rhubarbpie ricepudding scotcheroos shooflypie snackcake snickerdoodles snickerssalad stackcake strawberryshortcake sundae sweetpotatopie tapiocapudding tipsycake twinkie waldorfpudding watergatesalad whoopiepie 
americanForenames,aaron ada adam adrian adrienne agnes alan albert alberta alberto alex alexander alexandra alexis alfred alfredo alice alicia alison allan allen allison alma alvin alyssa amanda amber amelia amy ana andre andrea andrew andy angel angel angela angelica angelina angie anita ann anna anne annette annie anthony antoinette antonia antonio april arlene armando arnold arthur ashley audrey barbara barry beatrice becky belinda ben benjamin bernadette bernard bernice bertha bessie beth bethany betsy betty beulah beverly bill billie billy blanca blanche bob bobbie bobby bonnie brad bradley brandi brandon brandy brenda brent brett brian bridget brittany brooke bruce bryan byron calvin camille candace candice carl carla carlos carmen carol carole caroline carolyn carrie casey casey cassandra catherine cathy cecelia cecil cecilia celia chad charlene charles charlie charlotte chelsea cheryl chester chris christian christie christina christine christopher christy cindy claire clara clarence claude claudia clayton clifford clifton clinton clyde cody colleen connie constance cora corey cory courtney craig cristina crystal curtis cynthia daisy dale dan dana daniel danielle danny darla darlene darrell darren darryl daryl dave david dawn dean deanna debbie deborah debra delia della delores denise dennis derek derrick desiree diana diane dianna dianne dixie dolores don donald donna dora doreen doris dorothy douglas duane dustin dwayne dwight earl ebony eddie edgar edith edna eduardo edward edwin eileen elaine eleanor elena elisa elizabeth ella ellen elmer eloise elsa elsie elvira emily emma enrique eric erica erik erika erin erma ernest ernestine essie estelle esther ethel eugene eula eunice eva evelyn everett faith fannie faye felicia felix fernando flora florence floyd frances francis francis francisco frank franklin fred freda freddie frederick gabriel gail gary gayle gene geneva genevieve george georgia gerald geraldine gertrude gilbert gina ginger gladys glen glenda glenn gloria gordon grace greg gregory gretchen guadalupe guy gwen gwendolyn hannah harold harriet harry harvey hattie hazel heather hector heidi helen henrietta henry herbert herman hilda holly hope howard hugh ian ida inez irene iris irma isaac isabel ivan jack jackie jacob jacqueline jacquelyn jaime jaime james jamie jamie jan jana jane janet janice janie janis jared jasmine jason javier jay jean jeanette jeanne jeannette jeannie jeff jeffery jeffrey jenna jennie jennifer jenny jeremy jerome jerry jesse jessica jessie jessie jesus jill jim jimmie jimmy jo joan joann joanna joanne jodi jody joe joel johanna john johnnie johnnie johnny jon jonathan jordan jorge jose josefina joseph josephine joshua joy joyce juan juana juanita judith judy julia julian julie julio june justin kara karen kari karl karla kate katherine kathleen kathryn kathy katie katrina kay kayla keith kelley kelli kellie kelly kelly ken kendra kenneth kent kerry kevin kim kimberly kirk krista kristen kristi kristie kristin kristina kristine kristy krystal kurt kyle lana lance larry latoya laura lauren laurie laverne lawrence leah lee lee leigh lela lena leo leon leona leonard leroy leslie leslie lester leticia lewis lila lillian lillie linda lindsay lindsey lisa lloyd lois lola lonnie lora lorena lorene loretta lori lorraine louis louise lucia lucille lucy luis lula luz lydia lynda lynette lynn lynne mabel mable madeline mae maggie mamie mandy manuel marc marcella marcia marcus margaret margarita margie marguerite maria marian marianne marie marilyn mario marion marion marjorie mark marlene marsha marshall marta martha martin marvin mary maryann mathew matthew mattie maureen maurice max maxine may megan meghan melanie melba melinda melissa melody melvin mercedes meredith michael micheal michele michelle miguel mike mildred milton mindy minnie miranda miriam misty mitchell molly mona monica monique morris muriel myra myrtle nadine nancy naomi natalie natasha nathan nathaniel neil nellie nelson nettie nicholas nichole nicole nina nora norma norman olga olive olivia ollie opal ora oscar pam pamela pat patricia patrick patsy patti patty paul paula paulette pauline pearl pedro peggy penny perry peter philip phillip phyllis priscilla rachael rachel rafael ralph ramon ramona randall randy raquel raul ray raymond rebecca regina reginald rene renee rhonda ricardo richard rick ricky rita robert roberta roberto robin robyn rochelle rodney roger roland ron ronald ronnie rosa rosalie rose rosemarie rosemary rosie ross roxanne roy ruben ruby russell ruth ryan sabrina sadie sally salvador sam samantha samuel sandra sandy sara sarah scott sean sergio seth shane shannon shari sharon shawn shawna sheila shelia shelley shelly sheri sherri sherry sheryl shirley sidney silvia sonia sonja sonya sophia sophie stacey stacy stanley stella stephanie stephen steve steven sue susan susie suzanne sylvia tabitha tamara tami tammy tanya tara tasha ted teresa teri terrance terrence terri terry terry thelma theodore theresa thomas tiffany tim timothy tina todd tom tommy toni tony tonya tracey traci tracy tracy travis tricia troy tyler tyrone valerie vanessa velma vera verna vernon veronica vicki vickie vicky victor victoria vincent viola violet virgil virginia vivian wade wallace walter wanda warren wayne wendy wesley whitney willard william willie willie wilma winifred yolanda yvette yvonne zachary 
americanStates,alabama alaska arizona arkansas california colorado connecticut delaware florida georgia hawaii idaho illinois indiana iowa kansas kentucky louisiana maine maryland massachusetts michigan minnesota mississippi missouri montana nebraska nevada newhampshire newjersey newmexico newyork northcarolina northdakota ohio oklahoma oregon pennsylvania rhode southcarolina southdakota tennessee texas utah vermont virginia washington westvirginia wisconsin wyoming
animalSounds,arf baa bark bawl bay bell bellow bleat boom bray bugle buzz cackle cackle cah caw chatter cheep chirp chirrup chuckle click cluck coo cough creak croak crow cry dook drum gibber gobble groan growl grunt heehaw hiss honk hoot howl hum laugh low meow mew moo neigh nevermore nicker oink pipe purr quack roar ruff scream screech shriek simper sing snort squeak squeal talk trill trumpet tweet twitter wail warble whine whinny whisper whistle whoop woof yap yell yelp yowl
animals,aardvark aardwolf albatross alligator alpaca anaconda angelfish anglerfish ant anteater antelope antlion ape aphid armadillo asp ass baboon badger baldeagle bandicoot barnacle barracuda basilisk bass bat bear beaver bedbug bee beetle bird bison blackbird blackpanther blackwidow bluebird bluejay bluewhale boa boar bobcat bonobo buffalo butterfly buzzard camel capybara caribou carp cat caterpillar catfish catshark centipede chameleon cheetah chickadee chicken chimpanzee chinchilla chipmunk clam clownfish cobra cockroach cod condor coral cougar cow coyote crab crane cranefly crayfish cricket crocodile crow cuckoo damselfly deer dingo dog dolphin donkey dormouse dove dragonfly duck dungbeetle eagle earthworm earwig echidna eel egret elephant elephantseal elk emu ermine falcon ferret finch firefly fish flamingo flea fly fowl fox frog fruitbat galliform gamefowl gazelle gecko gerbil giantpanda giantsquid gibbon giraffe goat goldfish goose gopher gorilla grasshopper grizzlybear groundshark groundsloth grouse guan guanaco guineafowl guineapig gull haddock halibut hammerheadshark hamster hare hawk hedgehog hermitcrab heron herring hippopotamus hornet horse hoverfly hummingbird humpbackwhale hyena iguana jackal jaguar jay jellyfish kangaroo kingfisher kiwi koala koi komodo krill ladybug lamprey lark leech lemming lemur leopard limpet lion lizard llama lobster locust loon louse lynx macaw mackerel magpie mammal manatee mantaray marmoset marmot meadowlark meerkat mink minnow mite mockingbird mole mollusk mongoose monitor monkey moose mosquito moth mouse mule narwhal newt nightingale octopus orangutan orca ostrich otter owl ox panda panther parakeet parrot partridge peacock peafowl pelican penguin perch peregrine pheasant pig pigeon pike piranha platypus polarbear pony porcupine porpoise possum prairiedog prawn prayingmantis primate puffin puma python quail rabbit raccoon rat rattlesnake raven redpanda reindeer reptile rhinoceros roadrunner rodent rook rooster salamander salmon scorpion seahorse sealion seaslug seasnail shark sheep shrew shrimp silkworm silverfish skink skunk sloth slug snail snake snipe sole sparrow spermwhale spider spidermonkey squid squirrel starfish stingray stoat stork swallow swan swift swordfish swordtail tarantula termite thrush tiger tigershark toad tortoise toucan treefrog trout tuna turkey turtle tyrannosaurus vampirebat viper vole vulture wallaby walrus wasp waterbuffalo weasel whale whitefish wildcat wildebeest wolf wolverine wombat woodpecker yak zebra
artTypes,abstractart abstractexpressionism academicism actionpainting americanrealism analyticalcubism analyticalrealism artbrut artdeco artnouveau ashcan automaticpainting avantgarde baroque bauhaus biedermeier byzantine cartographicart casualism classicism cloisonnism colorfieldpainting computerart concretism constructivism contemporaryrealism costumbrismo cubism cuboexpressionism cubofuturism cyberart dada digitalart divisionism earthart environmental existentialart expressionism fantasticrealism fauvism feministart fiberart figurativeart figurativeexpressionism fluxus folkart futurism gongbi gothic graffitiart hardedge highrenaissance hyperrealism ilkhanid impressionism inkandwash internationalgothic intimism japonism junkart kinetic kitsch lettrism lowbrowart luminism magicrealism mailart mannerism maritimeart maximalism mechanisticcubism metaphysicalart minimalism miserablism modernismo mosanart mozarabic mughal muralism nanga nativeart naturalism neobaroque neobyzantine neoclassicism neoconcretism neodada neoexpressionism neofiguratism neogeo neominimalism neoorthodoxism neoplasticism neopop neorococo neoromanticism newrealism nihonga opart orientalism orphism outsiderart perceptism performanceart photorealism pictorialism pointillism popart posterart postimpressionism postminimalism postpainterly precisionism primitivism protorenaissance purism rayonism realism regionalism renaissance rococo romanesque romanticism skyart socialistrealism socialrealism spatialism spectralism streetart streetphotography stuckism superflat suprematism surrealism symbolism synchromism syntheticcubism synthetism tachisme tenebrism tonalism toyism transautomatism transavantgarde trashart tubism urbanart verism vorticism zen
birdCommonNames,abbottsbooby abdimsstork acaciapiedbarbet acadianflycatcher acornwoodpecker adamawaturtledove adeliepenguin admirablehummingbird afeppigeon afghansnowfinch albatross aleutiantern allensgallinule allenshummingbird alpineaccentor alpinechough alpineswift antbird apostlebird ashyfacedowl ashyheadedgoose ashyheadedgreenpigeon ashywoodpecker avocet bandedkestrel bandedkingfisher bandedlapwing bandedstilt bandedwoodpecker barbet barbthroat barheadedgoose barkingowl barnaclegoose barneckedcuckoodove barnswallow barredowlet batfalcon bathawk beachkingfisher beardedreedling beardedscreechowl beardedvulture beeeater beehummingbird bellbird bittern blackduck blackgrouse blackheadedoriole blackheron blackswan blackswift blacktern bluebilledduck bluejay bluequail bluethroat bluetit broadbill bronzewing browndove brushturkey bustard buttonquail buzzard chickadee cockoftherock collareddove condor coot cormorant coucal cowbird crake crestedhummingbird crow cuckoo cuckoodove cuckoohawk cuckooshrike darter darter dipper dollarbird dowitcher dwarfkingfisher eagleowl eagleowl emerald emeraldcuckoo fairybluebird falcon finch finfoot fisheagle fishowl flameback flamingo flicker florican flufftail forestfalcon francolin frigatebird fruitdove fruiteater gannet glossystarling gnatcatcher goawaybird goldeneye goldenplover goldensparrow goldfinch goose goshawk grassowl greenpigeon greenpigeon greyhornbill greywoodpecker groundcuckoo grounddove guan guineafowl gull harrier harrierhawk hawkeagle hawkowl heron herringgull hillstar hobby honeybird honeybuzzard hoopoe hornbill hummingbird imperialpigeon jacamar jacana jewelbabbler kestrel kingfisher lapwing lapwing lark logrunner magpie mango marshharrier maskedowl metaltail monarchbird mountaintoucan murrelet nativehen needletail nighthawk nightheron nightjar nunbird olivepigeon openbill owlet oystercatcher paintedsnipe palmswift paradiseflycatcher partridge peacockpheasant penguin petrel pheasant piculet piculet piedhornbill puffbird puffin puffleg pygmyfalcon pygmygoose pygmykingfisher pygmyowl rail redstart reedwarbler robin rockjumper rockpigeon sacredibis sandgrouse satinbird scimitarbill scopsowl screechowl scrubfowl scurassow serpenteagle shag sheartail shearwater sheathbill shelduck shoveler sicklebill skimmer snipe snowcock sparrow sparrowhawk spinetail spoonbill spurfowl starfrontlet starling stork stormpetrel streamertail sugarbird sunbeam swamphen swamphen swift swiftlet teal tern thorntail threetoedwoodpecker throatedmountaingem throatedsunangel tigerheron treecreeper trogon warbler wattledlapwing wattleeye waxbill whistlingduck whiteeye whiteibis whitepelican wigeon woodcock woodowl woodpecker woodpigeon woodquail woodstar
boardGames,abalone acronymble agricola alias articulate backgammon balderdash battleship blockade buckaroo checkers chess clue diamond diplomacy dominion dominos downfall draughts go guesswho hex isola jenga kerplunk kropki ludo mahjong mastermind monopoly mousetrap obsession operation othello pandemic pictionary risk scattergories scrabble senet shogi stratego trivialpursuit twister ubongo uno upwords yahtzee
